date,indice_prevu,borne_basse,borne_haute,inflation_prevue_pct
2026-06-01,105.3541018914404,104.7504418765035,105.95776190637729,0.812640047026858
2026-07-01,105.83815590294986,104.75602377729085,106.92028802860888,0.7068652807896258
2026-08-01,105.77894791259881,104.23049971978625,107.32739610541137,0.6301028380231832
2026-09-01,105.61339965334778,103.61926453102683,107.60753477566874,0.5852603732158679
2026-10-01,105.35573523830197,102.94057528828657,107.77089518831738,0.5269422646316579
2026-11-01,104.98881158011477,102.17802786012264,107.7995953001069,0.5223302233734461
2026-12-01,102.65053170673661,99.46853947478814,105.83252393868509,0.5357343839643036
2027-01-01,100.33378140406057,96.80322022394498,103.86434258417617,1.063173936616879
2027-02-01,101.41068984045519,97.55214403192814,105.26923564898225,0.9304765613818988
2027-03-01,102.9221590943461,98.75414521685357,107.09017297183863,0.7984455160320092
2027-04-01,104.14451919125521,99.68360498610171,108.60543339640871,0.8300290320907511
2027-05-01,105.36427395569854,100.62525419202396,110.10329371937311,0.868396050104181
